AT,V,AP,RH,PE,PC1,PC2,PC3,PC4,PC5
14.96,41.76,1024.07,73.17,463.26,-15.3287688,-7.013298988,1.886362714,9.361188237,0.270774873
25.18,62.96,1020.04,59.08,444.37,17.4782852,-8.8654227,6.801438579,4.802308488,-0.631993035
5.11,39.4,1012.16,92.14,488.56,-43.03431113,4.281143938,1.250405589,-9.315515866,0.347363396
20.86,57.32,1010.24,76.64,446.48,6.651479463,6.307569139,-2.625194806,0.433399045,1.350305981
10.82,37.5,1009.23,96.62,473.9,-33.00990653,12.21802657,-7.334671527,-2.887189311,-0.781917355
26.27,59.44,1012.23,58.77,443.67,17.67647301,-9.009897085,-1.021980783,1.098415437,-1.051319261
15.89,43.96,1014.02,75.24,467.35,-16.34993475,-4.513156464,-2.030054518,-0.768443993,-1.303751857
9.48,44.71,1019.12,66.43,478.42,-23.2961529,-16.02327155,6.223683083,-3.773902087,1.847746402
14.64,45,1021.78,41.25,475.98,-10.93116247,-38.72572279,7.319359129,-2.554598757,0.177473214
11.74,43.56,1015.14,70.72,477.5,-23.56763096,-11.66351566,2.208521482,-5.208963914,-0.215964601
17.99,43.72,1008.64,75.04,453.02,-4.848931043,-0.311831736,-10.4721998,2.272038733,1.588017861
20.14,46.93,1014.66,64.22,453.99,-0.084240947,-10.34087386,-4.079121756,3.969720366,0.124196675
24.34,73.5,1011.31,84.15,440.29,17.27677053,19.01349884,6.545812873,-2.643208715,-0.011142896
25.71,58.59,1012.77,61.83,451.28,10.47198442,-8.514180506,1.161391123,-1.47322248,-3.303557001
26.19,69.34,1009.48,87.59,433.99,19.25966821,23.00528672,0.251369397,1.365960909,-0.213347073
21.42,43.79,1015.76,43.08,462.19,0.508798217,-32.93171635,-2.604260279,0.71455423,-1.713850525
18.21,45,1022.86,48.84,467.54,-6.711389967,-29.55737787,4.787478031,3.105270944,-1.385672516
11.04,41.74,1022.6,77.51,477.2,-27.89805976,-6.630709939,5.682059596,1.805715097,-0.759254891
14.45,52.75,1023.97,63.59,459.85,-4.106367582,-12.05761268,8.461599629,4.857567075,3.361238619
13.97,38.47,1015.15,55.28,464.3,-10.34121208,-23.65612614,-5.350597805,2.292320699,3.152162829
17.76,42.42,1009.09,66.26,468.27,-13.2767683,-12.86976348,-6.026361085,-4.7257015,-2.171285172
5.41,40.07,1019.16,64.77,495.24,-38.24796474,-23.30843375,8.921013433,-9.90368949,0.336472137
7.76,42.28,1008.52,83.31,483.8,-33.70090446,-1.400190439,-0.793049109,-11.66883163,0.645955758
27.23,63.9,1014.3,47.19,443.61,24.19792822,-18.71613632,3.469091542,-0.363704091,-0.663869133
27.36,48.6,1003.18,54.93,436.06,20.62268597,-12.32665556,-16.73719708,2.907782788,0.773785886
27.47,70.72,1009.97,74.62,443.25,18.42477088,8.900156386,4.562410109,-4.291684458,-2.95298601
14.6,39.31,1011.11,72.52,464.16,-15.41995542,-7.069478289,-7.890812469,0.476116217,1.152290342
